stim1,stim2,stim3,trialType,diffCategory,isCorrect
stim/bda0.wav,stim/bda5.wav,stim/bda6.wav,abb,first,1
stim/bda1.wav,stim/bda5.wav,stim/bda6.wav,abb,first,1
stim/bda2.wav,stim/bda5.wav,stim/bda6.wav,abb,first,1
stim/bda0.wav,stim/bda4.wav,stim/bda5.wav,abb,first,1
stim/bda1.wav,stim/bda4.wav,stim/bda5.wav,abb,first,1
stim/bda2.wav,stim/bda4.wav,stim/bda5.wav,abb,first,1
stim/bda0.wav,stim/bda6.wav,stim/bda5.wav,abb,first,1
stim/bda1.wav,stim/bda6.wav,stim/bda5.wav,abb,first,1
stim/bda2.wav,stim/bda6.wav,stim/bda5.wav,abb,first,1
stim/bda4.wav,stim/bda1.wav,stim/bda0.wav,baa,first,1
stim/bda5.wav,stim/bda1.wav,stim/bda0.wav,baa,first,1
stim/bda6.wav,stim/bda1.wav,stim/bda0.wav,baa,first,1
stim/bda4.wav,stim/bda2.wav,stim/bda1.wav,baa,first,1
stim/bda5.wav,stim/bda2.wav,stim/bda1.wav,baa,first,1
stim/bda6.wav,stim/bda2.wav,stim/bda1.wav,baa,first,1
stim/bda4.wav,stim/bda0.wav,stim/bda1.wav,baa,first,1
stim/bda5.wav,stim/bda0.wav,stim/bda1.wav,baa,first,1
stim/bda6.wav,stim/bda0.wav,stim/bda1.wav,baa,first,1
stim/bda0.wav,stim/bda1.wav,stim/bda4.wav,aab,third,0
stim/bda0.wav,stim/bda1.wav,stim/bda5.wav,aab,third,0
stim/bda0.wav,stim/bda1.wav,stim/bda6.wav,aab,third,0
stim/bda1.wav,stim/bda2.wav,stim/bda4.wav,aab,third,0
stim/bda1.wav,stim/bda2.wav,stim/bda5.wav,aab,third,0
stim/bda1.wav,stim/bda2.wav,stim/bda6.wav,aab,third,0
stim/bda1.wav,stim/bda0.wav,stim/bda4.wav,aab,third,0
stim/bda1.wav,stim/bda0.wav,stim/bda5.wav,aab,third,0
stim/bda1.wav,stim/bda0.wav,stim/bda6.wav,aab,third,0
stim/bda6.wav,stim/bda5.wav,stim/bda0.wav,bba,third,0
stim/bda6.wav,stim/bda5.wav,stim/bda1.wav,bba,third,0
stim/bda6.wav,stim/bda5.wav,stim/bda2.wav,bba,third,0
stim/bda5.wav,stim/bda4.wav,stim/bda0.wav,bba,third,0
stim/bda5.wav,stim/bda4.wav,stim/bda1.wav,bba,third,0
stim/bda5.wav,stim/bda4.wav,stim/bda2.wav,bba,third,0
stim/bda5.wav,stim/bda6.wav,stim/bda0.wav,bba,third,0
stim/bda5.wav,stim/bda6.wav,stim/bda1.wav,bba,third,0
stim/bda5.wav,stim/bda6.wav,stim/bda2.wav,bba,third,0
stim/bda0.wav,stim/bda1.wav,stim/bda0.wav,aaa,same,space
stim/bda0.wav,stim/bda1.wav,stim/bda1.wav,aaa,same,space
stim/bda0.wav,stim/bda1.wav,stim/bda2.wav,aaa,same,space
stim/bda1.wav,stim/bda0.wav,stim/bda1.wav,aaa,same,space
stim/bda1.wav,stim/bda2.wav,stim/bda1.wav,aaa,same,space
stim/bda1.wav,stim/bda0.wav,stim/bda0.wav,aaa,same,space
stim/bda2.wav,stim/bda1.wav,stim/bda0.wav,aaa,same,space
stim/bda2.wav,stim/bda1.wav,stim/bda1.wav,aaa,same,space
stim/bda2.wav,stim/bda1.wav,stim/bda2.wav,aaa,same,space
stim/bda6.wav,stim/bda5.wav,stim/bda6.wav,bbb,same,space
stim/bda6.wav,stim/bda5.wav,stim/bda5.wav,bbb,same,space
stim/bda6.wav,stim/bda5.wav,stim/bda4.wav,bbb,same,space
stim/bda5.wav,stim/bda6.wav,stim/bda5.wav,bbb,same,space
stim/bda5.wav,stim/bda4.wav,stim/bda5.wav,bbb,same,space
stim/bda5.wav,stim/bda6.wav,stim/bda6.wav,bbb,same,space
stim/bda4.wav,stim/bda5.wav,stim/bda6.wav,bbb,same,space
stim/bda4.wav,stim/bda5.wav,stim/bda5.wav,bbb,same,space
stim/bda4.wav,stim/bda5.wav,stim/bda4.wav,bbb,same,space