stim,word,correct_response,button_real,button_false
1,mensible,0,Real,False
2,scornful,1,Real,False
3,stoutly,1,Real,False
4,ablaze,1,Real,False
5,kermshaw,0,Real,False
6,moonlit,1,Real,False
7,lofty,1,Real,False
8,hurricane,1,Real,False
9,flaw,1,Real,False
10,alberation,0,Real,False
11,unkempt,1,Real,False
12,breeding,1,Real,False
13,festivity,1,Real,False
14,screech,1,Real,False
15,savoury,1,Real,False
16,plaudate,0,Real,False
17,shin,1,Real,False
18,fluid,1,Real,False
19,spaunch,0,Real,False
20,allied,1,Real,False
21,slain,1,Real,False
22,recipient,1,Real,False
23,exprate,0,Real,False
24,eloquence,1,Real,False
25,cleanliness,1,Real,False
26,dispatch,1,Real,False
27,rebondicate,0,Real,False
28,ingenious,1,Real,False
29,bewitch,1,Real,False
30,skave,0,Real,False
31,plaintively,1,Real,False
32,kilp,0,Real,False
33,interfate,0,Real,False
34,hasty,1,Real,False
35,lengthy,1,Real,False
36,fray,1,Real,False
37,crumper,0,Real,False
38,upkeep,1,Real,False
39,majestic,1,Real,False
40,magrity,0,Real,False
41,nourishment,1,Real,False
42,abergy,0,Real,False
43,proom,0,Real,False
44,turmoil,1,Real,False
45,carbohydrate,1,Real,False
46,scholar,1,Real,False
47,turtle,1,Real,False
48,fellick,0,Real,False
49,destription,0,Real,False
50,cylinder,1,Real,False
51,censorship,1,Real,False
52,celestial,1,Real,False
53,rascal,1,Real,False
54,purrage,0,Real,False
55,pulsh,0,Real,False
56,muddy,1,Real,False
57,quirty,0,Real,False
58,pudour,0,Real,False
59,listless,1,Real,False
60,wrought,1,Real,False